address,city,state,zip,price,sqft,bedrooms,bathrooms,days_on_zillow,sale_type,url
5500 Kelsey Dr,Columbia,MO,65202,237500,3106.0,5.0,3.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/5500-Kelsey-Dr-Columbia-MO-65202/60057328_zpid/
1 Bogie Hills Dr,Columbia,MO,65201,239900,2225.0,4.0,3.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/1-Bogie-Hills-Dr-Columbia-MO-65201/70890881_zpid/
1810 Garden Dr,Columbia,MO,65202,169500,2640.0,5.0,3.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/1810-Garden-Dr-Columbia-MO-65202/58697545_zpid/
2801 W Broadway APT S2,Columbia,MO,65203,139900,1838.0,4.0,3.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/2801-W-Broadway-APT-S2-Columbia-MO-65203/58697271_zpid/
1798 E Riviera Dr,Columbia,MO,65202,137500,1896.0,4.0,3.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/1798-E-Riviera-Dr-Columbia-MO-65202/58694408_zpid/
1701 E Phoenix Rd,Columbia,MO,65202,130000,1247.0,3.0,2.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/1701-E-Phoenix-Rd-Columbia-MO-65202/58715641_zpid/
2 S Blue Jay Way,Columbia,MO,65203,115000,1012.0,3.0,1.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/2-S-Blue-Jay-Way-Columbia-MO-65203/58701925_zpid/
5614 N Bower Ln,Columbia,MO,65201,239000,1560.0,3.0,2.0,NA,Apartment For Sale,http://www.zillow.com/homes/for_sale//homedetails/5614-N-Bower-Ln-Columbia-MO-65201/2092522112_zpid/
4321 W Brookview Ct,Columbia,MO,65203,189900,2570.0,4.0,3.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/4321-W-Brookview-Ct-Columbia-MO-65203/58708785_zpid/
413 W Phyllis Ave,Columbia,MO,65202,122500,1104.0,3.0,1.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/413-W-Phyllis-Ave-Columbia-MO-65202/58698129_zpid/
111 Blue Ridge Rd,Columbia,MO,65202,219900,1728.0,3.0,2.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/111-Blue-Ridge-Rd-Columbia-MO-65202/2092157617_zpid/
1739 S El Centro Ct,Columbia,MO,65201,145000,1710.0,3.0,2.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/1739-S-El-Centro-Ct-Columbia-MO-65201/58718817_zpid/
400 Anderson Ave,Columbia,MO,65203,127000,852.0,2.0,1.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/400-Anderson-Ave-Columbia-MO-65203/58700756_zpid/
1412 Wilkes Blvd,Columbia,MO,65201,130000,1112.0,3.0,1.0,NA,For Sale by Owner,http://www.zillow.com/homes/for_sale//homedetails/1412-Wilkes-Blvd-Columbia-MO-65201/58713780_zpid/
Parkside Ests LOT 122,Columbia,MO,65203,85000,NA,NA,NA,NA,Lot/Land For Sale,http://www.zillow.com/homes/for_sale//homedetails/Parkside-Ests-LOT-122-Columbia-MO-65203/2101627536_zpid/
4501 N Oneal Rd,Columbia,MO,65202,79900,NA,NA,NA,NA,Lot/Land For Sale,http://www.zillow.com/homes/for_sale//homedetails/4501-N-Oneal-Rd-Columbia-MO-65202/2092268304_zpid/
601 Westmount Ave,Columbia,MO,65203,595000,3617.0,4.0,3.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/601-Westmount-Ave-Columbia-MO-65203/58707803_zpid/
4104 Watertown Pl,Columbia,MO,65203,275000,2159.0,3.0,3.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/4104-Watertown-Pl-Columbia-MO-65203/58710664_zpid/
3809 Armadillo Dr,Columbia,MO,65202,219900,2306.0,4.0,3.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/3809-Armadillo-Dr-Columbia-MO-65202/67318311_zpid/
3912 N Cotton Wood Ct,Columbia,MO,65202,139900,1211.0,3.0,2.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/3912-N-Cotton-Wood-Ct-Columbia-MO-65202/58695739_zpid/
5903 Kelsey Dr,Columbia,MO,65202,187000,2235.0,3.0,3.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/5903-Kelsey-Dr-Columbia-MO-65202/58714637_zpid/
5303 Sandstone Dr,Columbia,MO,65202,154900,1811.0,3.0,3.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/5303-Sandstone-Dr-Columbia-MO-65202/67317044_zpid/
4717 Stone Mountain Pkwy,Columbia,MO,65201,340000,2393.0,4.0,3.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/4717-Stone-Mountain-Pkwy-Columbia-MO-65201/2092268307_zpid/
205 Whitetail Dr,Columbia,MO,65202,179900,1935.0,3.0,3.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/205-Whitetail-Dr-Columbia-MO-65202/67316920_zpid/
Rutland Dr LOT 4A,Columbia,MO,65203,69900,NA,NA,NA,NA,Lot/Land For Sale,http://www.zillow.com/homes/for_sale//homedetails/Rutland-Dr-LOT-4A-Columbia-MO-65203/2092239068_zpid/
4015 Arctic Fox Dr,Columbia,MO,65202,168000,1670.0,3.0,2.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/4015-Arctic-Fox-Dr-Columbia-MO-65202/67319887_zpid/
6635 N Nelson Dr,Columbia,MO,65202,134900,1715.0,4.0,2.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/6635-N-Nelson-Dr-Columbia-MO-65202/58693344_zpid/
109 Blue Ridge Rd,Columbia,MO,65202,219900,1709.0,3.0,2.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/109-Blue-Ridge-Rd-Columbia-MO-65202/2092157784_zpid/
5306 Baseline Pl,Columbia,MO,65202,179900,1800.0,3.0,3.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/5306-Baseline-Pl-Columbia-MO-65202/2092315161_zpid/
2125 Mcintosh Dr,Columbia,MO,65202,269990,1838.0,3.0,2.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/2125-Mcintosh-Dr-Columbia-MO-65202/2092107873_zpid/
2305 Bluff Creek Dr,Columbia,MO,65201,598000,4470.0,5.0,5.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/2305-Bluff-Creek-Dr-Columbia-MO-65201/2098291072_zpid/
703 N 6th St # A,Columbia,MO,65201,139900,1800.0,4.0,2.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/703-N-6th-St-A-Columbia-MO-65201/2092294757_zpid/
Meandering Ct LOT 343,Columbia,MO,65202,198900,1693.0,3.0,2.0,NA,New Construction,http://www.zillow.com/homes/for_sale//homedetails/Meandering-Ct-LOT-343-Columbia-MO-65202/2092123805_zpid/
206 Cedar Falls Ct,Columbia,MO,65203,349900,3300.0,5.0,3.0,NA,For Sale by Owner,http://www.zillow.com/homes/for_sale//homedetails/206-Cedar-Falls-Ct-Columbia-MO-65203/98374783_zpid/
5607 N Rocky Fork Dr,Columbia,MO,65202,139900,1462.0,3.0,2.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/5607-N-Rocky-Fork-Dr-Columbia-MO-65202/2092305007_zpid/
700 W Green Meadows Rd,Columbia,MO,65203,179900,1420.0,3.0,2.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/700-W-Green-Meadows-Rd-Columbia-MO-65203/58712239_zpid/
4100 W Worley St APT 106,Columbia,MO,65203,150000,1309.0,3.0,2.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/4100-W-Worley-St-APT-106-Columbia-MO-65203/83031947_zpid/
4709 Stone Mountain Pkwy,Columbia,MO,65201,249900,1653.0,3.0,2.0,NA,New Construction,http://www.zillow.com/homes/for_sale//homedetails/4709-Stone-Mountain-Pkwy-Columbia-MO-65201/2092138721_zpid/
1916 Newton Dr # A,Columbia,MO,65202,165000,3062.0,0,NA,NA,Apartment For Sale,http://www.zillow.com/homes/for_sale//homedetails/1916-Newton-Dr-A-Columbia-MO-65202/2092145165_zpid/
0 S Tom Bass Rd,Columbia,MO,65203,985000,NA,NA,NA,NA,Lot/Land For Sale,http://www.zillow.com/homes/for_sale//homedetails/0-S-Tom-Bass-Rd-Columbia-MO-65203/2095038191_zpid/
W Snapdragon Dr LOT 201,Columbia,MO,65203,269900,2131.0,4.0,3.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/W-Snapdragon-Dr-LOT-201-Columbia-MO-65203/2092146083_zpid/
5800 Oswago Cir,Columbia,MO,65201,28000,6969.0,NA,NA,NA,Lot/Land For Sale,http://www.zillow.com/homes/for_sale//homedetails/5800-Oswago-Cir-Columbia-MO-65201/2092273915_zpid/
4114 Joslyn Ct,Columbia,MO,65203,515000,4362.0,5.0,3.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/4114-Joslyn-Ct-Columbia-MO-65203/70890792_zpid/
1932 Lasso Cir,Columbia,MO,65201,310000,1900.0,3.0,2.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/1932-Lasso-Cir-Columbia-MO-65201/125072870_zpid/
112 Cedar Falls Ct,Columbia,MO,65203,249900,1762.0,3.0,2.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/112-Cedar-Falls-Ct-Columbia-MO-65203/118195204_zpid/
2400 Tahoe Ct,Columbia,MO,65203,315000,3211.0,5.0,3.0,NA,For Sale by Owner,http://www.zillow.com/homes/for_sale//homedetails/2400-Tahoe-Ct-Columbia-MO-65203/58705543_zpid/
1306 Troon Dr,Columbia,MO,65203,289900,2076.0,3.0,2.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/1306-Troon-Dr-Columbia-MO-65203/58710331_zpid/
4005 Citation Dr,Columbia,MO,65202,232000,2896.0,3.0,4.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/4005-Citation-Dr-Columbia-MO-65202/58693827_zpid/
Parkside Ests LOT 124,Columbia,MO,65203,82500,NA,NA,NA,NA,Lot/Land For Sale,http://www.zillow.com/homes/for_sale//homedetails/Parkside-Ests-LOT-124-Columbia-MO-65203/2101621934_zpid/
Parkside Ests LOT 123,Columbia,MO,65203,82500,NA,NA,NA,NA,Lot/Land For Sale,http://www.zillow.com/homes/for_sale//homedetails/Parkside-Ests-LOT-123-Columbia-MO-65203/2101621932_zpid/
Parkside Ests LOT 125,Columbia,MO,65203,82500,NA,NA,NA,NA,Lot/Land For Sale,http://www.zillow.com/homes/for_sale//homedetails/Parkside-Ests-LOT-125-Columbia-MO-65203/2101627541_zpid/
Parkside Ests LOT 126,Columbia,MO,65203,82500,NA,NA,NA,NA,Lot/Land For Sale,http://www.zillow.com/homes/for_sale//homedetails/Parkside-Ests-LOT-126-Columbia-MO-65203/2101621931_zpid/
6502 Upper Bridle Bend Dr,Columbia,MO,65201,310000,1909.0,3.0,2.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/6502-Upper-Bridle-Bend-Dr-Columbia-MO-65201/103722541_zpid/
3404 Timber Run Dr,Columbia,MO,65203,289900,1946.0,4.0,3.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/3404-Timber-Run-Dr-Columbia-MO-65203/2092276832_zpid/
1805 Fair Oaks Ct,Columbia,MO,65201,279900,1670.0,3.0,2.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/1805-Fair-Oaks-Ct-Columbia-MO-65201/2092268303_zpid/
4805 Newcastle Dr,Columbia,MO,65203,329000,3298.0,6.0,4.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/4805-Newcastle-Dr-Columbia-MO-65203/58709081_zpid/
Meandering Ct LOT 345,Columbia,MO,65202,212500,1800.0,3.0,2.0,NA,New Construction,http://www.zillow.com/homes/for_sale//homedetails/Meandering-Ct-LOT-345-Columbia-MO-65202/2092121913_zpid/
5210 Thornbrook Pkwy,Columbia,MO,65203,424900,3905.0,4.0,4.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/5210-Thornbrook-Pkwy-Columbia-MO-65203/70890958_zpid/
3408 N Yellowwood Dr,Columbia,MO,65202,224900,1783.0,3.0,2.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/3408-N-Yellowwood-Dr-Columbia-MO-65202/2092184990_zpid/
2303 N Ballenger Ln,Columbia,MO,65202,49500,NA,NA,NA,NA,Lot/Land For Sale,http://www.zillow.com/homes/for_sale//homedetails/2303-N-Ballenger-Ln-Columbia-MO-65202/58715041_zpid/
5424 Steeplechase Dr,Columbia,MO,65203,89900,NA,NA,NA,NA,Lot/Land For Sale,http://www.zillow.com/homes/for_sale//homedetails/5424-Steeplechase-Dr-Columbia-MO-65203/119606083_zpid/
3602 Jungle Tree Dr,Columbia,MO,65202,254900,2798.0,5.0,4.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/3602-Jungle-Tree-Dr-Columbia-MO-65202/67319874_zpid/
4409 Canyata Ct,Columbia,MO,65203,379900,2770.0,4.0,3.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/4409-Canyata-Ct-Columbia-MO-65203/126288944_zpid/
W Posey Ln LOT 202,Columbia,MO,65203,246900,1820.0,3.0,3.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/W-Posey-Ln-LOT-202-Columbia-MO-65203/2092146085_zpid/
Tract 20a Woodie Proctor,Columbia,MO,65203,75000,NA,NA,NA,NA,Lot/Land For Sale,http://www.zillow.com/homes/for_sale//homedetails/Tract-20a-Woodie-Proctor-Columbia-MO-65203/2092308275_zpid/
W Posey Ln LOT 343,Columbia,MO,65203,225900,1530.0,3.0,2.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/W-Posey-Ln-LOT-343-Columbia-MO-65203/2092146082_zpid/
W Posey Ln LOT 304,Columbia,MO,65203,221900,1550.0,3.0,2.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/W-Posey-Ln-LOT-304-Columbia-MO-65203/2092146084_zpid/
Clark Ln LOT 2,Columbia,MO,65202,214420,NA,NA,NA,NA,Lot/Land For Sale,http://www.zillow.com/homes/for_sale//homedetails/Clark-Ln-LOT-2-Columbia-MO-65202/2092140969_zpid/
Tract 20b Woodie Proctor,Columbia,MO,65203,65000,NA,NA,NA,NA,Lot/Land For Sale,http://www.zillow.com/homes/for_sale//homedetails/Tract-20b-Woodie-Proctor-Columbia-MO-65203/2092307144_zpid/
Tract 20c Woodie Proctor,Columbia,MO,65203,75000,NA,NA,NA,NA,Lot/Land For Sale,http://www.zillow.com/homes/for_sale//homedetails/Tract-20c-Woodie-Proctor-Columbia-MO-65203/2092307145_zpid/
4803 Rainbow Trout Dr,Columbia,MO,65203,276999,3024.0,4.0,3.0,NA,For Sale by Owner,http://www.zillow.com/homes/for_sale//homedetails/4803-Rainbow-Trout-Dr-Columbia-MO-65203/58702243_zpid/
1905 Lasso Cir,Columbia,MO,65201,384900,2900.0,4.0,3.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/1905-Lasso-Cir-Columbia-MO-65201/126247739_zpid/
3603 Meandering Ct,Columbia,MO,65202,179900,1476.0,3.0,2.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/3603-Meandering-Ct-Columbia-MO-65202/2092239065_zpid/
2508 Saint Regis Ct,Columbia,MO,65203,595000,5465.0,5.0,5.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/2508-Saint-Regis-Ct-Columbia-MO-65203/67318713_zpid/
5440 W Hatton Chapel Rd,Columbia,MO,65202,425000,3085.0,4.0,4.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/5440-W-Hatton-Chapel-Rd-Columbia-MO-65202/58691618_zpid/
4000 Southern Pine Ct,Columbia,MO,65203,365000,3744.0,5.0,3.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/4000-Southern-Pine-Ct-Columbia-MO-65203/58708986_zpid/
Sapling Ct LOT 220,Columbia,MO,65203,199900,1321.0,3.0,2.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/Sapling-Ct-LOT-220-Columbia-MO-65203/2092236829_zpid/
Cowan Dr,Columbia,MO,65201,274000,NA,NA,NA,NA,Lot/Land For Sale,http://www.zillow.com/homes/for_sale//homedetails/Cowan-Dr-Columbia-MO-65201/2092275814_zpid/
6401 Shallow River Dr,Columbia,MO,65201,395000,3190.0,4.0,3.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/6401-Shallow-River-Dr-Columbia-MO-65201/122923177_zpid/
6510 Cashs Xing,Columbia,MO,65201,459900,3400.0,5.0,3.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/6510-Cashs-Xing-Columbia-MO-65201/119606213_zpid/
1804 Random Rdg,Columbia,MO,65201,379900,2792.0,4.0,3.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/1804-Random-Rdg-Columbia-MO-65201/2092264570_zpid/
300-302 Clinkscales Rd,Columbia,MO,65203,159000,NA,0,NA,NA,Apartment For Sale,http://www.zillow.com/homes/for_sale//homedetails/300-302-Clinkscales-Rd-Columbia-MO-65203/2092232939_zpid/
Dumont Ln LOT 124,Columbia,MO,65203,160000,NA,NA,NA,NA,Lot/Land For Sale,http://www.zillow.com/homes/for_sale//homedetails/Dumont-Ln-LOT-124-Columbia-MO-65203/2095281768_zpid/
5900 Abbey Ln,Columbia,MO,65202,235400,1658.0,3.0,2.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/5900-Abbey-Ln-Columbia-MO-65202/2092243572_zpid/
5284 W Route K,Columbia,MO,65203,115000,NA,NA,NA,NA,Lot/Land For Sale,http://www.zillow.com/homes/for_sale//homedetails/5284-W-Route-K-Columbia-MO-65203/2092309219_zpid/
Hanover Blvd/clark Ln LOT 6,Columbia,MO,65202,215600,NA,NA,NA,NA,Lot/Land For Sale,http://www.zillow.com/homes/for_sale//homedetails/Hanover-Blvd-clark-Ln-LOT-6-Columbia-MO-65202/2092315554_zpid/
Chinaberry Dr,COLUMBIA,MO,65201,1200000,NA,NA,NA,NA,Lot/Land For Sale,http://www.zillow.com/homes/for_sale//homedetails/Chinaberry-Dr-Columbia-MO-65201/103685707_zpid/
6555 W Hatton Chapel Rd,Columbia,MO,65202,55400,1792.0,4.0,2.0,NA,Foreclosure,http://www.zillow.com/homes/for_sale//homedetails/6555-W-Hatton-Chapel-Rd-Columbia-MO-65202/2131095420_zpid/
408 Grapevine Ct,Columbia,MO,65203,189900,4540.0,5.0,4.0,NA,Foreclosure,http://www.zillow.com/homes/for_sale//homedetails/408-Grapevine-Ct-Columbia-MO-65203/70894721_zpid/
2500 Quail Dr,Columbia,MO,65202,70000,1872.0,4.0,2.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/2500-Quail-Dr-Columbia-MO-65202/58713610_zpid/
3816 Pinecrest Dr,Columbia,MO,65202,155500,2400.0,4.0,3.0,NA,For Sale by Owner,http://www.zillow.com/homes/for_sale//homedetails/3816-Pinecrest-Dr-Columbia-MO-65202/58694874_zpid/
3909 Deerfoot Way,COLUMBIA,MO,65203,299000,3489.0,6.0,4.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/3909-Deerfoot-Way-Columbia-MO-65203/70886371_zpid/
607 W Ash St,Columbia,MO,65203,137900,1377.0,3.0,1.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/607-W-Ash-St-Columbia-MO-65203/58700924_zpid/
529 E Clearview Dr,Columbia,MO,65202,99900,1257.0,3.0,2.0,NA,For Sale by Owner,http://www.zillow.com/homes/for_sale//homedetails/529-E-Clearview-Dr-Columbia-MO-65202/58691458_zpid/
5300 N Creasy Springs Rd,Columbia,MO,65202,189500,3064.0,5.0,4.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/5300-N-Creasy-Springs-Rd-Columbia-MO-65202/58691229_zpid/
4114 E Doe Creek Dr,Columbia,MO,65202,121000,1482.0,3.0,2.0,NA,Foreclosed,http://www.zillow.com/homes/for_sale//homedetails/4114-E-Doe-Creek-Dr-Columbia-MO-65202/103711774_zpid/
1414 Fir Pl,Columbia,MO,65201,69500,896.0,3.0,1.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/1414-Fir-Pl-Columbia-MO-65201/58713439_zpid/
232 E Clearview Dr,Columbia,MO,65202,116900,1080.0,3.0,2.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/232-E-Clearview-Dr-Columbia-MO-65202/58691420_zpid/
4110 Juniper Pl # 4110,Columbia,MO,65201,289000,3600.0,3.0,3.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/4110-Juniper-Pl-4110-Columbia-MO-65201/2093625317_zpid/
2027 S El Chaparral Ave,Columbia,MO,65201,105000,1153.0,3.0,2.0,NA,Auction,http://www.zillow.com/homes/for_sale//homedetails/2027-S-El-Chaparral-Ave-Columbia-MO-65201/58718868_zpid/
1424-1426 Greensboro Dr,COLUMBIA,MO,65202,144000,2804.0,4.0,3.0,NA,Foreclosed,http://www.zillow.com/homes/for_sale//homedetails/1424-1426-Greensboro-Dr-Columbia-MO-65202/67319991_zpid/
4000 Baurichter Dr,Columbia,MO,65203,245000,2279.0,4.0,2.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/4000-Baurichter-Dr-Columbia-MO-65203/58710701_zpid/
9101 N Highway Vv,Columbia,MO,65202,130000,1792.0,3.0,2.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/9101-N-Highway-Vv-Columbia-MO-65202/58690942_zpid/
478 N Grace Ln,Columbia,MO,65201,124900,1365.0,3.0,2.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/478-N-Grace-Ln-Columbia-MO-65201/58716401_zpid/
4422 S Germantown Dr,Clark,MO,65203,60000,1092.0,2.0,1.5,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/4422-S-Germantown-Dr-Clark-MO-65203/2093563019_zpid/
1408-1410 Greensboro Dr,COLUMBIA,MO,65202,133000,2804.0,0,NA,NA,Apartment For Sale,http://www.zillow.com/homes/for_sale//homedetails/1408-1410-Greensboro-Dr-Columbia-MO-65202/67319995_zpid/
100 E Green Meadows Rd APT 11,Columbia,MO,65203,167000,1612.0,3.0,3.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/100-E-Green-Meadows-Rd-APT-11-Columbia-MO-65203/58711382_zpid/
2 4th Ave,Columbia,MO,65203,59000,690.0,2.0,1.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/2-4th-Ave-Columbia-MO-65203/58699733_zpid/
6260 N Gregory Dr,Columbia,MO,65202,150000,1840.0,4.0,3.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/6260-N-Gregory-Dr-Columbia-MO-65202/67317571_zpid/
1115 Kennesaw Ridge Rd,Columbia,MO,65202,98000,1135.0,3.0,2.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/1115-Kennesaw-Ridge-Rd-Columbia-MO-65202/2103288610_zpid/
5855 N South Ct,Columbia,MO,65202,205000,1942.0,3.0,2.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/5855-N-South-Ct-Columbia-MO-65202/58691144_zpid/
801 Cypress Ln,Columbia,MO,65203,142900,1832.0,3.0,2.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/801-Cypress-Ln-Columbia-MO-65203/58711049_zpid/
108 W Forest Ave,Columbia,MO,65203,74900,1080.0,3.0,1.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/108-W-Forest-Ave-Columbia-MO-65203/58699788_zpid/
603 N 6th St,Columbia,MO,65201,77900,1028.0,2.0,1.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/603-N-6th-St-Columbia-MO-65201/58700274_zpid/
2455 E Clays Fork Rd,Columbia,MO,65202,69500,NA,NA,NA,NA,Lot/Land For Sale,http://www.zillow.com/homes/for_sale//homedetails/2455-E-Clays-Fork-Rd-Columbia-MO-65202/2092695872_zpid/
2105 Park De Ville Pl,Columbia,MO,65203,84900,1050.0,2.0,2.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/2105-Park-De-Ville-Pl-Columbia-MO-65203/58697855_zpid/
749 Demaret Dr,Columbia,MO,65202,95000,2464.0,0,NA,NA,Apartment For Sale,http://www.zillow.com/homes/for_sale//homedetails/749-Demaret-Dr-Columbia-MO-65202/58716769_zpid/
715 W Stewart Rd,Columbia,MO,65203,259900,2627.0,3.0,2.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/715-W-Stewart-Rd-Columbia-MO-65203/58707679_zpid/
1108 Sunset Dr,Columbia,MO,65203,246900,2091.0,4.0,3.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/1108-Sunset-Dr-Columbia-MO-65203/58708003_zpid/
109 Defoe Ct,Columbia,MO,65203,200000,2783.0,5.0,3.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/109-Defoe-Ct-Columbia-MO-65203/58704731_zpid/
4416 Oakview Dr,Columbia,MO,65202,137900,2024.0,4.0,2.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/4416-Oakview-Dr-Columbia-MO-65202/58696017_zpid/
707 King Ave,Columbia,MO,65203,149000,1426.0,4.0,2.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/707-King-Ave-Columbia-MO-65203/58699905_zpid/
3907 Eagle View Ct,Columbia,MO,65203,339000,2925.0,5.0,3.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/3907-Eagle-View-Ct-Columbia-MO-65203/2092843397_zpid/
300 E Briarwood Ln,Columbia,MO,65203,165000,2391.0,5.0,3.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/300-E-Briarwood-Ln-Columbia-MO-65203/58705316_zpid/
5404 Gemstone Dr,COLUMBIA,MO,65202,154000,1432.0,3.0,2.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/5404-Gemstone-Dr-Columbia-MO-65202/103694981_zpid/
1705 Jackson St,Columbia,MO,65202,97500,1556.0,3.0,2.0,NA,Foreclosure,http://www.zillow.com/homes/for_sale//homedetails/1705-Jackson-St-Columbia-MO-65202/58698882_zpid/
4517 Waterloo Dr,Columbia,MO,65202,92500,1175.0,3.0,2.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/4517-Waterloo-Dr-Columbia-MO-65202/58715081_zpid/
5605 Pinehurst Ln,Columbia,MO,65202,85500,1460.0,3.0,2.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/5605-Pinehurst-Ln-Columbia-MO-65202/58716009_zpid/
1513 Jake Ln,Columbia,MO,65203,200000,2295.0,4.0,3.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/1513-Jake-Ln-Columbia-MO-65203/58706250_zpid/
4404 W Rockhampton Cir,Columbia,MO,65203,189000,2140.0,4.0,3.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/4404-W-Rockhampton-Cir-Columbia-MO-65203/58702516_zpid/
19 E Leslie Ln,Columbia,MO,65202,119500,2300.0,4.0,2.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/19-E-Leslie-Ln-Columbia-MO-65202/58698442_zpid/
