address,city,state,zip,price,sqft,bedrooms,bathrooms,days_on_zillow,sale_type,url
911 N 8th St # A,Columbia,MO,65201,99999,1302.0,4.0,2.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/911-N-8th-St-A-Columbia-MO-65201/2095969341_zpid/
3709 Timber Run Dr,Columbia,MO,65203,210000,1682.0,3.0,2.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/3709-Timber-Run-Dr-Columbia-MO-65203/103711272_zpid/
1805 Ridgemont,Columbia,MO,65203,159900,3025.0,5.0,3.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/1805-Ridgemont-Columbia-MO-65203/58706683_zpid/
7200 E Highway Ww,Columbia,MO,65201,135000,2011.0,3.0,2.0,NA,For Sale by Owner,http://www.zillow.com/homes/for_sale//homedetails/7200-E-Highway-Ww-Columbia-MO-65201/58719023_zpid/
5121 N Lotus Loop,Columbia,MO,65202,59900,1389.0,3.0,2.0,NA,Foreclosure,http://www.zillow.com/homes/for_sale//homedetails/5121-N-Lotus-Loop-Columbia-MO-65202/58692324_zpid/
625 Promenade Dr,Columbia,MO,65202,179900,1520.0,3.0,2.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/625-Promenade-Dr-Columbia-MO-65202/2092043543_zpid/
115 Meadow Ln,Columbia,MO,65203,170000,1850.0,3.0,3.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/115-Meadow-Ln-Columbia-MO-65203/58701156_zpid/
2503 Umc Dr,Columbia,MO,65201,182900,1330.0,3.0,2.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/2503-Umc-Dr-Columbia-MO-65201/58707039_zpid/
2200 Ridgemont,Columbia,MO,65203,185000,1959.0,3.0,3.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/2200-Ridgemont-Columbia-MO-65203/58706459_zpid/
3412-3414 Keenes Edge Dr,COLUMBIA,MO,65201,259900,3000.0,0.0,NA,NA,Apartment For Sale,http://www.zillow.com/homes/for_sale//homedetails/3412-3414-Keenes-Edge-Dr-Columbia-MO-65201/58713196_zpid/
910 W Texas Ave,Columbia,MO,65202,170000,1960.0,4.0,2.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/910-W-Texas-Ave-Columbia-MO-65202/58698845_zpid/
1110 W Worley St,Columbia,MO,65203,125000,1240.0,3.0,2.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/1110-W-Worley-St-Columbia-MO-65203/58700360_zpid/
4403 Crystal Rock Ct,Columbia,MO,65203,179900,1500.0,3.0,2.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/4403-Crystal-Rock-Ct-Columbia-MO-65203/58723115_zpid/
207 Jackal Dr,Columbia,MO,65202,175000,1666.0,3.0,2.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/207-Jackal-Dr-Columbia-MO-65202/67319843_zpid/
4500 Hockaday Pl,Columbia,MO,65202,155000,1476.0,3.0,2.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/4500-Hockaday-Pl-Columbia-MO-65202/58693565_zpid/
4003 Copperstone Creek Dr,Columbia,MO,65203,489900,3450.0,4.0,4.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/4003-Copperstone-Creek-Dr-Columbia-MO-65203/2092068871_zpid/
4200 Culpeper Dr,Columbia,MO,65202,172000,1600.0,3.0,2.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/4200-Culpeper-Dr-Columbia-MO-65202/58693755_zpid/
1009 W Trobridge Rd,Columbia,MO,65202,180000,1850.0,3.0,3.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/1009-W-Trobridge-Rd-Columbia-MO-65202/58691049_zpid/
N Creasy Springs Rd LOT 2,Columbia,MO,65202,73400,NA,NA,NA,NA,Lot/Land For Sale,http://www.zillow.com/homes/for_sale//homedetails/N-Creasy-Springs-Rd-LOT-2-Columbia-MO-65202/2092028802_zpid/
4013 Blue Hollow Dr,Columbia,MO,65203,321500,2260.0,3.0,2.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/4013-Blue-Hollow-Dr-Columbia-MO-65203/102959732_zpid/
N Creasy Springs Rd LOT 3,Columbia,MO,65202,71400,NA,NA,NA,NA,Lot/Land For Sale,http://www.zillow.com/homes/for_sale//homedetails/N-Creasy-Springs-Rd-LOT-3-Columbia-MO-65202/2092028803_zpid/
3909 Richmond Heights Ct,Columbia,MO,65202,159900,1375.0,3.0,2.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/3909-Richmond-Heights-Ct-Columbia-MO-65202/70894682_zpid/
2601 Spanish Bay Dr,Columbia,MO,65202,166000,1552.0,3.0,2.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/2601-Spanish-Bay-Dr-Columbia-MO-65202/89284232_zpid/
5200 Sandstone Dr,Columbia,MO,65202,146900,1516.0,3.0,2.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/5200-Sandstone-Dr-Columbia-MO-65202/58695823_zpid/
E Panama Rd,Nevada,MO,65201,372255,NA,NA,NA,NA,Lot/Land For Sale,http://www.zillow.com/homes/for_sale//homedetails/E-Panama-Rd-Nevada-MO-65201/2092033972_zpid/
503 N Brookline Dr,Columbia,MO,65203,200000,1762.0,3.0,2.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/503-N-Brookline-Dr-Columbia-MO-65203/58712142_zpid/
3102 Alligator Ln,Columbia,MO,65202,225000,2446.0,4.0,3.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/3102-Alligator-Ln-Columbia-MO-65202/80268829_zpid/
